Serial,RAhour,RAminutes,RAseconds,RA,DECsign,DECdegrees,DECminutes,DECseconds,DEC,Vmag,PropermotionRA,PropermotionDEC
 198,00,44,57.1,0.7491944444444444,-,42,40,36,-42.67666666666667, 5.94,-0.086,-0.102
 199,00,44,32.3,0.7423055555555556,-,62,29,52,-62.49777777777778, 6.07,+0.143,-0.005
 200,00,46,39.0,0.7775000000000001,+,69,19,30,69.325, 6.33,+0.196,+0.001
 201,00,45,24.1,0.7566944444444444,-,04,37,45,-4.629166666666666, 6.15,+0.028,+0.033
 202,00,45,00.0,0.75,-,53,42,54,-53.715, 6.15,+0.230, 0.000
 203,00,45,28.7,0.7579722222222223,-,12,52,51,-12.880833333333333, 6.15,-0.034,-0.201
 204,00,46,15.1,0.7708611111111111,+,55,18,19,55.305277777777775, 6.52,+0.015,-0.012
 205,00,46,10.9,0.7696944444444445,+,44,51,41,44.86138888888889, 6.05,+0.028,-0.009
 206,00,45,41.7,0.7615833333333333,-,16,25,27,-16.424166666666668, 6.47,+0.014,-0.005
 207,00,46,42.4,0.7784444444444445,+,59,34,28,59.574444444444445, 6.39,-0.008,-0.001
 208,00,47,46.1,0.7961388888888888,+,74,50,51,74.8475, 5.41,+0.015,-0.009
 209,00,45,45.6,0.7626666666666667,-,47,33,06,-47.55166666666667, 5.80,+0.184,+0.086
 210,00,46,11.8,0.7699444444444445,-,22,31,19,-22.521944444444443, 5.50,+0.201,-0.006
 211,00,46,33.0,0.7758333333333334,+,15,28,32,15.475555555555555, 5.38,-0.027,-0.044
 212,00,48,09.1,0.8025277777777778,+,72,40,30,72.675, 5.87,+0.130,+0.024
 213,00,47,01.5,0.78375,+,11,58,26,11.973888888888888, 5.50,+0.058,-0.036
 214,00,47,13.6,0.7871111111111111,+,19,34,44,19.57888888888889, 6.13,+0.104,+0.011
 215,00,47,20.3,0.7889722222222222,+,24,16,02,24.267222222222223, 4.06,-0.100,-0.083
 216,00,47,23.6,0.7898888888888889,+,06,44,27,6.740833333333334, 5.99,+0.014,-0.015
 217,00,47,54.8,0.7985555555555556,+,20,55,31,20.92527777777778, 6.54,+0.157,+0.006
 218,00,47,43.3,0.7953611111111111,-,18,03,41,-18.06138888888889, 5.70,+0.043,+0.031
 219,00,49,06.0,0.8183333333333334,+,57,48,57,57.81583333333333, 3.44,+1.100,-0.529
 220,00,48,01.1,0.8003055555555556,-,21,43,21,-21.7225, 5.57,+0.028,-0.011
 221,00,48,17.4,0.8048333333333334,+,07,18,00,7.3, 5.93,+0.111,+0.004
